rank,title,artist,release,summary,metascore,userscore
74,græ,Moses Sumney,"May 15, 2020","The double album (released also as two separate EPs] for the experimental artist features a guest appearance from Jill Scott and elements of folk, jazz, indie rock, pop, and soul music.",90,8.5
75,XTRMNTR,Primal Scream,"May 2, 2000","Bobby Gillespie & co. expand on the harder-edged punk/electronica sound of their previous effort, 'Vanishing Point,' with their most violent effort to date, earning rave reviews in the process and perhaps matching the success of their classic 'Screamadelica.' Contributors here include David Holmes, Bernard Sumner, Kevin Shields and the Chemical Brothers.",90,8.8
76,Spaces,Nils Frahm,"November 19, 2013","Described as a field recording, this latest release from the Berlin-based composer was recorded over two years at various locations with different methods including cassette recordings.",90,8.5
77,Z,My Morning Jacket,"October 4, 2005","For their fourth album, produced by John Leckie, the Kentucky band sports a new keyboardist and guitarist.",90,8.4
78,St. Vincent,St. Vincent,"February 25, 2014",The fourth full-length release for the indie artist was produced by John Congleton and includes contributions from Dap-Kings drummer Homer Steinweiss and Midlake's McKenzie Smith.,89,8.6
79,The Dusk in Us,Converge,"November 3, 2017","The ninth full-length release for the Massachusetts metalcore band was mixed by the band's guitarist, Kurt Ballou.",89,7.7
80,Like a Rose,Ashley Monroe,"March 5, 2013","The second solo album for the Pistol Annies member includes songs co-written with such artists as Sally Barris, Guy Clark, Vince Gill, Lori McKenna, and Jon Randall.",89,7.1
81,RTJ2,Run the Jewels,"October 27, 2014","The latest release from Killer Mike and El-P features collaborations with Travis Barker of Blink-182, Diane Coffee, and Zack de la Rocha formerly of Rage Against the Machine.",89,8.8
82,Rounds,Four Tet,"May 6, 2003",The sample-based indietronica LP 'Rounds' is the third solo effort for Fridge's Kieran Hebden.,89,8.4
83,Neon Golden,The Notwist,"February 25, 2003","This breaktrhough sixth album for the German band combines a variety of disparate elements, most notably moody indie rock and glitchy electronica (think Hood's Cold House), to great effect.",89,8.8
84,Since I Left You,The Avalanches,"November 6, 2001","This sample-driven Austrialian dance outfit scored a hit in its homeland with this, its debut full-length release (following three EP releases since 1997). The UK music press created a publicity avalanche for the band in the Spring of 2001, as the album picked up strong reviews (quotes from some appear below) and was featured in numerous articles. Packed with over 600 samples of recordings dating from the 1950's to the present (each one credited in the liner notes!) as well as original instrumentation, 'Since I Left You' is a varied and unique record.",89,8.9
85,Honey,Robyn,"October 26, 2018","The first full-length release in eight years for the Swedish  artist features contributions from with Joseph Mount of Metronomy, Klas Åhlund, Adam Bainbridge, Mr. Tophat, and Zhal.",89,8.5
86,"Eternity, In Your Arms",Creeper,"March 24, 2017",The debut full-length release for the British punk rock band is a concept album about a paranormal investigator.,89,7.7
87,Kiwanuka,Michael Kiwanuka,"November 1, 2019",The third full-length release for the indie singer-songwriter was produced by by Danger Mouse and Inflo.,89,8.4
88,Modern Times,Bob Dylan,"August 29, 2006",Dylan's first studio release since his 2001 hit 'Love And Theft' is his 44th album overall.,89,8.5
89,LEGACY! LEGACY!,Jamila Woods,"May 10, 2019","The second full-length release for the Chicago R&B artist features guest appearances from Jasminfire, Nitty Scott, Saba, Nico Segal, and theMIND.",89,8.0
90,Apex Predator - Easy Meat,Napalm Death,"January 27, 2015",The 15th studio release for the British grindcore band was produced by Russ Russell.,89,7.2
91,HoboSapiens,John Cale,"September 7, 2004","Produced by Nick Franglen of Lemon Jelly, 'Hobo Sapiens' finds the 61-year-old Cale still willing to explore new musical territory. Note that none of the 12 songs here were on the ""5 Tracks"" EP released earlier in 2003.",89,8.2
92,Miss E... So Addictive,Missy Elliott,"May 15, 2001","This is the third album for Missy ""Misdemeanor"" Elliott, and it again features the acclaimed production work of Timbaland. Guests include Busta Rhymes, Redman, Method Man, Ludacris, Eve, Jay-Z, and Ginuwine.",89,8.6
93,Bloodmoon: I,Converge,"November 19, 2021","The debut full-length collaboration between Converge, Chelsea Wolfe, Ben Chisholm, and Steve Brodsky began recording in 2019 but was completed remotely due to the COVID-19 pandemic.",89,7.3
94,RTJ4,Run the Jewels,"June 3, 2020","Released a few days early (for free on their website), the fourth full-length studio album for the rap duo features guest appearances from 2 Chainz, Zack de la Rocha, DJ Premier, Josh Homme, Greg Nice, Mavis Staples, and Pharrell Williams.",89,8.9
95,Sawayama,Rina Sawayama,"April 17, 2020","The debut full-length studio release for the Japanese-British pop artist features production from Clarence Clarity, Nate Company, Bram Inscore, and Nicole Morier.",89,9.1
96,Black Origami,Jlin,"May 19, 2017","The second full-length release for the electronic producer features contributions from William Basinski, Dope Saint Jude, Fawkes, and Holly Herndon.",89,7.1
97,"Bachelor No. 2 (or, the last remains of the dodo)",Aimee Mann,"May 2, 2000","The third solo release from the former 'Til Tuesday leader finally made it to record stores in May 2000, after a long journey that saw Interscope refuse to release the album and Mann issue it on her own SuperEgo label (after selling it through mail order and at her live performances). All's well that ends well, though, as Mann gained widespread acclaim for her soundtrack to P.T. Anderson's film ""Magnolia"" and even better reviews for this album, which contains four of the tracks from the soundtrack as well as nine additional songs.",89,8.6
98,All Mirrors,Angel Olsen,"October 4, 2019","The fourth full-length studio release from the North Carolina-based indie folk singer-songwriter features arrangements and production by Ben Babbitt, Jherek Bischoff, and John Congelton.",89,7.8
